nohup: ignoring input
🚀 系统监控Agent启动！准备建立数据库连接池...
✅ 数据库网络打通！准备开启 5 秒级轮询上报...
==================================================
✅ 识别到本机的物理核载名: xiu-virtual-machine
[20:06:17] 📡 成功上报 -> 内存: 45.40% | CPU: 1.03%
[20:06:22] 📡 成功上报 -> 内存: 45.40% | CPU: 0.51%
[20:06:27] 📡 成功上报 -> 内存: 45.40% | CPU: 0.51%
[20:06:32] 📡 成功上报 -> 内存: 45.40% | CPU: 1.01%
[20:06:37] 📡 成功上报 -> 内存: 45.40% | CPU: 0.51%
[20:06:42] 📡 成功上报 -> 内存: 45.39% | CPU: 1.52%
[20:06:47] 📡 成功上报 -> 内存: 45.39% | CPU: 1.02%
[20:06:52] 📡 成功上报 -> 内存: 45.39% | CPU: 0.51%
[20:06:57] 📡 成功上报 -> 内存: 45.39% | CPU: 1.53%
[20:07:02] 📡 成功上报 -> 内存: 45.38% | CPU: 2.06%
[20:07:07] 📡 成功上报 -> 内存: 45.38% | CPU: 0.51%
[20:07:12] 📡 成功上报 -> 内存: 45.38% | CPU: 0.51%
[20:07:17] 📡 成功上报 -> 内存: 45.38% | CPU: 1.56%
[20:07:22] 📡 成功上报 -> 内存: 45.38% | CPU: 0.51%
[20:07:27] 📡 成功上报 -> 内存: 45.38% | CPU: 1.52%
[20:07:32] 📡 成功上报 -> 内存: 45.37% | CPU: 0.51%
[20:07:37] 📡 成功上报 -> 内存: 45.37% | CPU: 0.51%
[20:07:42] 📡 成功上报 -> 内存: 45.37% | CPU: 0.51%
[20:07:47] 📡 成功上报 -> 内存: 45.37% | CPU: 0.51%
[20:07:52] 📡 成功上报 -> 内存: 45.37% | CPU: 1.02%
[20:07:57] 📡 成功上报 -> 内存: 45.37% | CPU: 1.02%
[20:08:02] 📡 成功上报 -> 内存: 45.36% | CPU: 0.51%
[20:08:07] 📡 成功上报 -> 内存: 45.18% | CPU: 0.51%
[20:08:12] 📡 成功上报 -> 内存: 45.19% | CPU: 0.00%
[20:08:17] 📡 成功上报 -> 内存: 45.19% | CPU: 0.00%
[20:08:22] 📡 成功上报 -> 内存: 45.19% | CPU: 1.02%
[20:08:27] 📡 成功上报 -> 内存: 45.19% | CPU: 0.00%
[20:08:32] 📡 成功上报 -> 内存: 45.18% | CPU: 0.51%
[20:08:37] 📡 成功上报 -> 内存: 45.18% | CPU: 0.51%
[20:08:42] 📡 成功上报 -> 内存: 45.18% | CPU: 0.51%
[20:08:47] 📡 成功上报 -> 内存: 45.18% | CPU: 0.51%
[20:08:52] 📡 成功上报 -> 内存: 45.19% | CPU: 0.00%
[20:08:57] 📡 成功上报 -> 内存: 45.19% | CPU: 0.51%
[20:09:02] 📡 成功上报 -> 内存: 45.19% | CPU: 0.00%
[20:09:07] 📡 成功上报 -> 内存: 45.19% | CPU: 0.51%
[20:09:12] 📡 成功上报 -> 内存: 45.19% | CPU: 0.00%
[20:09:17] 📡 成功上报 -> 内存: 45.19% | CPU: 0.51%
[20:09:22] 📡 成功上报 -> 内存: 45.18% | CPU: 0.51%
[20:09:27] 📡 成功上报 -> 内存: 45.19% | CPU: 0.51%
[20:09:32] 📡 成功上报 -> 内存: 45.19% | CPU: 2.05%
[20:09:37] 📡 成功上报 -> 内存: 45.22% | CPU: 0.00%
[20:09:42] 📡 成功上报 -> 内存: 45.22% | CPU: 0.51%
[20:09:47] 📡 成功上报 -> 内存: 45.27% | CPU: 0.00%
[20:09:52] 📡 成功上报 -> 内存: 45.28% | CPU: 0.51%
[20:09:57] 📡 成功上报 -> 内存: 45.28% | CPU: 0.00%
[20:10:02] 📡 成功上报 -> 内存: 45.28% | CPU: 0.51%
[20:10:07] 📡 成功上报 -> 内存: 45.27% | CPU: 0.00%
[20:10:12] 📡 成功上报 -> 内存: 45.27% | CPU: 0.51%
[20:10:17] 📡 成功上报 -> 内存: 45.28% | CPU: 0.51%
[20:10:22] 📡 成功上报 -> 内存: 45.27% | CPU: 0.51%
[20:10:27] 📡 成功上报 -> 内存: 45.28% | CPU: 0.51%
[20:10:32] 📡 成功上报 -> 内存: 45.28% | CPU: 0.51%
[20:10:37] 📡 成功上报 -> 内存: 45.27% | CPU: 0.51%
[20:10:42] 📡 成功上报 -> 内存: 45.28% | CPU: 0.51%
[20:10:47] 📡 成功上报 -> 内存: 45.28% | CPU: 0.51%
[20:10:52] 📡 成功上报 -> 内存: 45.28% | CPU: 0.51%
[20:10:57] 📡 成功上报 -> 内存: 45.28% | CPU: 0.00%
[20:11:02] 📡 成功上报 -> 内存: 45.27% | CPU: 0.00%
[20:11:07] 📡 成功上报 -> 内存: 45.28% | CPU: 0.00%
[20:11:12] 📡 成功上报 -> 内存: 45.27% | CPU: 0.00%
[20:11:17] 📡 成功上报 -> 内存: 45.28% | CPU: 1.01%
[20:11:22] 📡 成功上报 -> 内存: 45.28% | CPU: 0.51%
[20:11:27] 📡 成功上报 -> 内存: 45.28% | CPU: 0.51%
[20:11:32] 📡 成功上报 -> 内存: 45.28% | CPU: 0.00%
[20:11:37] 📡 成功上报 -> 内存: 45.28% | CPU: 0.00%
[20:11:42] 📡 成功上报 -> 内存: 45.28% | CPU: 0.00%
[20:11:47] 📡 成功上报 -> 内存: 45.28% | CPU: 0.51%
[20:11:52] 📡 成功上报 -> 内存: 45.28% | CPU: 1.02%
[20:11:57] 📡 成功上报 -> 内存: 45.28% | CPU: 0.51%
[20:12:02] 📡 成功上报 -> 内存: 45.28% | CPU: 0.00%
[20:12:07] 📡 成功上报 -> 内存: 45.28% | CPU: 0.00%
[20:12:12] 📡 成功上报 -> 内存: 45.28% | CPU: 0.00%
[20:12:17] 📡 成功上报 -> 内存: 45.28% | CPU: 0.00%
[20:12:22] 📡 成功上报 -> 内存: 45.28% | CPU: 1.02%
[20:12:27] 📡 成功上报 -> 内存: 45.28% | CPU: 1.02%
[20:12:32] 📡 成功上报 -> 内存: 45.28% | CPU: 0.00%
